"date","close","volume","open","high","low"
"2017/07/17","126.3298","551,135","126.25","126.3762","126.12"
"2017/07/14","126.2300","1410947.0000","125.7700","126.4950","125.6500"
"2017/07/13","125.6700","1513965.0000","125.5600","125.7600","125.3100"
"2017/07/12","125.4700","1993153.0000","125.2000","125.6300","125.1000"
"2017/07/11","124.5800","1560180.0000","124.5300","124.7300","123.8300"
"2017/07/10","124.6100","1404760.0000","124.5000","124.8299","124.3550"
"2017/07/07","124.5200","1710065.0000","123.9600","124.6200","123.9000"
"2017/07/06","123.6600","1981844.0000","124.4400","124.5500","123.5600"
"2017/07/05","124.8900","2167281.0000","124.9800","125.0200","124.3947"
"2017/07/03","124.7500","1645734.0000","124.9900","125.3000","124.7500"
"2017/06/30","124.4500","1910023.0000","124.7600","124.9000","124.3000"
"2017/06/29","124.2800","2354612.0000","125.4600","125.4800","123.4800"
"2017/06/28","125.2800","2444525.0000","124.7700","125.4100","124.5900"
"2017/06/27","124.1100","2386071.0000","125.0900","125.2300","124.1000"
"2017/06/26","125.1400","2605863.0000","125.4500","125.6900","124.9500"
"2017/06/23","125.0500","1829284.0000","124.8100","125.1900","124.5848"
"2017/06/22","124.7400","1639315.0000","124.7800","125.0800","124.5900"
"2017/06/21","124.6900","3363753.0000","125.1100","125.2000","124.5100"
"2017/06/20","125.4100","1359324.0000","126.1600","126.1700","125.4000"
"2017/06/19","126.2700","1816505.0000","125.6700","126.3500","125.6700"
"2017/06/16","125.2500","2018166.0000","125.4200","125.5300","124.7400"
"2017/06/15","125.3300","2483525.0000","124.7700","125.3450","124.6250"
"2017/06/14","125.6100","2584109.0000","126.0000","126.0200","125.1000"
"2017/06/13","125.7900","1567671.0000","125.5200","125.8400","125.3200"
"2017/06/12","125.1700","1973526.0000","125.0600","125.2000","124.6300"
"2017/06/09","125.1900","2585549.0000","125.4800","126.0200","124.4500"
"2017/06/08","125.2900","1826677.0000","125.1200","125.5300","124.8800"
"2017/06/07","125.0700","1253344.0000","125.1200","125.2400","124.6800"
"2017/06/06","124.9300","2981165.0000","124.9600","125.2900","124.7800"
"2017/06/05","125.2500","1494087.0000","125.4200","125.5000","125.2200"
"2017/06/02","125.4100","2839344.0000","125.0900","125.5800","124.8700"
"2017/06/01","125.0000","1926665.0000","124.1700","125.0000","123.9600"
"2017/05/31","123.8500","2043851.0000","124.0100","124.0900","123.3100"
"2017/05/30","123.8900","1347610.0000","123.8700","124.0580","123.7100"
"2017/05/26","124.0900","1320846.0000","124.0000","124.1500","123.9300"
"2017/05/25","124.1100","1491778.0000","123.9000","124.2680","123.7850"
"2017/05/24","123.5900","1552413.0000","123.4400","123.6550","123.2300"
"2017/05/23","123.2300","1795034.0000","123.2500","123.3899","122.9500"
"2017/05/22","123.0200","1809625.0000","122.6700","123.0951","122.6352"
"2017/05/19","122.3700","2143273.0000","121.9100","122.7700","121.8159"
"2017/05/18","121.5000","2883453.0000","120.9400","122.0200","120.8500"
"2017/05/17","121.1400","3702630.0000","122.3100","122.5600","121.0700"
