Date,Dividends
2013-03-22,0.364
2009-03-25,0.278
2013-06-24,0.386
2016-12-20,0.727
2017-06-21,0.575
2017-03-24,0.542
2016-09-13,0.539
2004-09-27,0.1935
2008-09-24,0.296
2012-12-20,0.545
2016-06-14,0.469
2004-06-28,0.19
2004-12-27,0.3925
2008-06-24,0.313
2008-12-22,0.335
2012-09-24,0.364
2016-03-15,0.48
2008-03-25,0.3115
2012-06-25,0.346
2015-12-21,0.583001
2012-03-26,0.308
2003-06-23,0.15
2003-12-22,0.221
2007-12-20,0.3855
2011-09-23,0.306
2003-09-29,0.17
2004-03-29,0.175
2007-09-24,0.321
2011-06-24,0.283
2011-12-21,0.361
2007-06-25,0.2855
2015-09-25,0.508
2011-03-25,0.283
2007-03-26,0.3055
2014-12-22,0.561
2015-06-26,0.468
2002-03-25,0.15
2006-03-20,0.263
2015-03-25,0.508
2002-06-24,0.13
2002-12-23,0.196
2006-12-22,0.356
2010-09-24,0.297
2002-09-30,0.15
2003-03-31,0.15
2006-09-25,0.2645
2010-06-24,0.269
2010-12-22,0.346
2006-06-26,0.2675
2014-09-24,0.465
2010-03-25,0.236
2014-06-24,0.42
2001-09-24,0.1575
2005-03-24,0.219
2014-03-25,0.423
2001-06-25,0.14
2001-12-24,0.1965
2009-09-24,0.248
2005-09-26,0.285
2013-12-20,0.494
2005-06-27,0.2015
2005-12-27,0.336
2009-06-24,0.223
2009-12-22,0.358
2013-09-23,0.429
